Registered Corporations,Total scope 1 greenhouse gas emissions (t CO2-e),Total scope 2 greenhouse gas emissions (t CO2-e),Total energy consumption (GJ)
Koppers Australia Pty Ltd,"159,113","36,143","12,066,981"
Kraft Australia Holdings Pty Ltd,"37,453","79,599","991,018"
La Trobe University,"29,081","28,969","708,157"
Lafarge Australia Pty Ltd,,,
Laing O'Rourke Australia Pty Ltd (LORA),"49,584","5,823","778,861"
Lanco Resources Australia Pty Ltd,"134,804","11,074","1,132,586"
LDO Coal,"200,422","9,421","57,038"
Leighton Holdings Limited,"775,441","187,887","8,435,737"
Lend Lease Corporation Limited,"106,020","202,668","2,380,842"
Lindsay Australia Limited,"89,726","4,370","1,301,405"
Linfox Pty Ltd,"224,015","49,867","3,408,726"
Lion Nathan National Foods Pty Ltd,"92,055","240,203","2,728,545"
Loy Yang Holdings Pty Ltd,"10,165,819","2,703","115,793,518"
LyondellBasell Australia (Holdings) Pty Ltd,"7,155","146,050","18,733,679"
M J Luff Pty Ltd,"54,215","4,082","841,330"
Macarthur Coal Limited,"279,284","52,885","2,679,535"
Mackay Sugar Limited,"120,105","8,897","16,223,130"
Macquarie Generation,"20,447,334","193,404","235,103,927"
Macquarie Group Limited,"5,572","44,590","269,317"
Maersk Drilling Australia Pty Ltd,"59,615",135,"1,715,768"
Mars Australia Pty Ltd,"38,246","92,277","1,035,054"
Mater Misericordiae Health Services Brisbane Limited,"8,990","43,149","279,228"
McCain Foods (Aust) Pty Ltd,"29,358","58,033","1,044,438"
McDonald's Australia Ltd,"2,324","130,815","527,926"
Melbourne Water Corporation,"209,567","232,729","1,770,360"
Metcash Limited,"12,396","90,242","518,354"
Metro Trains Melbourne Pty Ltd,"6,225","511,238","1,587,410"
Metropolitan Health Service,"23,292","130,532","995,821"
Millennium Inorganic Chemicals Limited,"148,792","44,102","2,770,875"
Minara Resources Limited,"560,804",244,"9,751,699"
Mirvac Limited,"13,635","175,893","891,473"
MMG Management Pty Ltd,"143,740","328,981","4,127,206"
MML Holdings Pty Ltd,"21,735","92,736","755,856"
Monash University,"17,605","122,447","696,230"
Mount Gibson Iron Limited,"107,947","12,381","1,612,316"
Multinet Group Holdings Pty Limited,"302,080","2,743","26,725"
Murray Goulburn Co-operative Co. Limited,"151,033","479,479","5,098,080"
Myer Holdings Limited,"2,381","215,615","858,756"
National Australia Bank Limited,"12,509","135,408","728,424"
Navigator Resources Limited,"57,401",63,"987,380"
Nestle Australia Ltd,"38,381","170,254","1,790,677"
New Zealand Milk (Australasia) Pty Ltd,"188,768","193,742","3,663,610"
Newcrest Mining Limited,"674,566","759,746","17,413,569"
Newmont Australia Holdings Pty Ltd,"390,275","680,326","9,810,408"
News Australia Holdings Pty Limited,"6,418","120,478","571,866"
Nippon Meat Packers Australia Pty Ltd,"61,216","63,341","831,983"
Norske Skog Industries Australia Limited,"276,559","864,317","8,794,042"
Northgate Australian Ventures Corporation Pty Ltd,"32,181","195,238","1,098,545"
Norton Gold Fields Limited,"37,604","76,325","899,972"
NRG Victoria 1 Pty Ltd,"6,409,672","49,873","71,624,302"
Nufarm Ltd,"12,717","57,489","395,761"
Nyrstar Australia Pty Ltd,"381,129","550,001","9,293,033"
Olex Australia Pty Limited,"10,865","44,936","348,276"
OneSteel Limited,"2,495,091","1,330,570","67,004,154"
Orica Limited,"1,709,524","417,850","17,932,854"
Origin Energy Limited,"2,718,342","58,295","210,068,991"
Owens-Illinois (Australia) Pty Ltd,"544,168","320,202","8,468,309"
OZ Minerals Limited,"131,172","184,505","2,825,809"
OzGen Holdings Australia Pty Ltd,"9,743,319","35,635","110,217,363"
Panoramic Resources Limited,"42,931","9,990","826,634"
Paper Australia Pty Ltd,"412,980","279,472","16,119,708"
Parmalat Australia Ltd,"26,514","85,213","771,305"
Patience Bulk Haulage Pty Ltd,"50,747",0,"725,989"
Peabody Energy Australia Pty Ltd,"2,897,925","164,176","4,611,223"
Peak Gold Asia Pacific Pty Ltd,"8,121","62,008","363,294"
Pechiney Consolidated Australia Pty Limited,"1,014,063","7,057,752","37,791,262"
Penrice Soda Holdings Limited,"130,988","202,186","3,960,848"
Perilya Limited,"9,141","118,648","606,722"
PFD Food Services Pty Ltd,"23,876","38,754","484,450"
PMP Limited,"21,492","94,970","726,294"
Port Waratah Coal Services Limited,858,"123,765","506,483"
Positive Investments Pty. Ltd.,"4,638","71,871","348,653"
POTA Holdings Pty Limited,"75,518","9,736","1,124,002"
Power and Water Corporation,"1,053,167","123,618","20,681,660"
Pratt Consolidated Holdings Pty. Ltd.,"371,120","1,091,979","20,858,331"
Prime Infrastructure Holdings Limited,"140,153","3,804","346,263"
Primo Group Holdings P/L,"1,709","87,040","742,911"
Prosafe Production Services (Australia) Pty Ltd,"530,771",0,"5,786,075"
PTTEP Australia Perth Pty Ltd,"55,714",661,"354,480"
Public Transport Authority of Western Australia,"9,052","107,235","601,160"
Qantas Airways Limited,"4,362,807","216,941","63,626,827"
Qenos Holdings Pty Ltd,"803,578","351,183","38,018,007"
QIC Limited,"3,232","105,751","457,932"
QMAG Limited,"376,339","112,058","2,605,781"
QR National Limited,"659,175","455,050","11,337,322"
Queensland Alumina Limited,"3,141,436","728,944","43,683,468"
Queensland Electricity Transmission Corporation Limited,"8,835","1,577,315","6,424,633"
Queensland Nickel Pty Ltd,"1,341,801","45,070","19,242,038"
Queensland Nitrates Pty Ltd,"583,926","47,911","3,309,733"
Queensland Rail Limited,"37,176","214,588","1,413,659"
R.G. Withers Nominess Pty Ltd as trustee for R.G. Withers Unit Trust,437,"92,760","329,930"
Rail Corporation New South Wales,"74,454","662,632","3,726,648"
Ramsay Health Care Limited,"13,672","154,991","858,870"
Rata International Pty Ltd,"13,636","71,343","468,816"
Redbank Energy Limited,"1,174,312","1,728","13,580,181"
Regional Express Holdings Ltd,"96,101","1,420","1,386,805"
Regional Power Corporation,"37,460","38,926","922,464"
Resolute Mining Limited,"16,504","100,902","651,020"
Ricegrowers Limited,"7,814","65,792","394,542"
Ridley Corporation Limited,"26,484","55,012","714,319"
Rio Doce Australia Pty Limited,"1,538,153","100,720","2,044,708"
Rio Tinto Limited,"8,110,133","9,983,117","137,961,859"
Ritchies Stores Pty Ltd,"12,867","83,111","283,921"
Ron Finemore Transport Pty Limited,"50,787",448,"783,406"
Royal Melbourne Institute of Technology,"7,203","73,306","353,003"
Salvage Pty Ltd,"10,013","231,111","982,144"
Santos Ltd,"3,457,537","40,267","202,735,743"
Saracen Mineral Holdings,"67,441",49,"1,176,568"
SCA Tissue Australia Pty Limited,"46,504","163,632","1,382,351"
Scott's Refrigerated Freightways Pty Ltd,"58,895","7,459","869,478"
Scotts Transport Industries Pty Ltd,"73,184","1,747","1,054,216"
Sealed Air Australia (Holdings) Pty Limited,"4,417","66,014","282,329"
SeaRoadHoldings Pty Ltd,"52,230","1,459","732,758"
Sembsita Australia Pty. Limited,"634,278","35,246","1,101,071"
Seven Group Holdings Limited,"26,844","50,333","588,929"
Shell Australia Limited,"1,671,916","556,999","421,535,809"
Sibelco Asia Pacific Pty Ltd,"300,699","181,822","2,923,487"
Silicon Metal Company of Australia Pty Ltd,"39,579","304,119","3,923,655"
Silk Logistics Group Holdings Pty Limited,"75,412","1,415","1,086,269"
Simplot Australia (Holdings) Pty Limited,"88,189","79,932","1,558,217"
Sims Metal Management Limited,"38,155","39,019","566,204"
Singapore Telecom Australia Investments Pty Limited,"2,684","322,781","1,256,804"
Snowy Hydro Limited,"203,764","314,619","22,615,358"
Sojitz Coal Resources Pty Limited,"109,739",22,"939,464"
Sonic Healthcare Limited,"6,646","55,328","325,907"
Sonoma Mine Management Pty Ltd,"168,175","30,945","1,311,220"
South Australian Water Corporation,"60,791","192,357","1,511,020"
Southern Cross Airports Corporation Holdings Limited,"4,696","90,896","448,405"
Southern Health,"12,435","69,889","523,633"
SP Australia Networks (Transmission) Ltd,"33,723","1,558,077","4,596,309"
SPI (Australia) Assets Pty Ltd,"598,189","271,258","3,373,212"
SPI Electricity & Gas Australia Holdings Pty Ltd,"152,586","691,214","2,217,962"
Spotless Group Limited,"42,069","46,693","935,666"
St Barbara Limited,"79,713","48,765","1,809,297"
St John of God Health Care Inc,"11,853","52,067","408,076"
St Vincent's Health Australia Ltd,"10,579","111,527","644,885"
Stanwell Corporation Limited,"5,929,509","12,364","70,751,592"
State Transit Authority of NSW,"149,536","10,983","2,405,565"
Stockland Corporation Ltd,"29,050","132,685","945,227"
Straits Resources Limited,"14,865","50,465","414,521"
Sumitomo Forestry Australia Pty Ltd,"7,138","63,234","768,250"
Sun Metals Holdings Limited,"15,173","807,862","3,335,222"
Suncorp Group Limited,"7,443","66,495","373,262"
SunWater,"1,735","96,734","452,175"
Super Retail Group Limited,648,"55,930","222,527"
Sydney Water Corporation,"139,904","319,578","2,325,226"
T&R Consolidated Pty Ltd,"26,845","37,702","598,549"
Tabcorp Holdings Limited,"9,660","135,513","706,461"
Tarong Energy Corporation Limited,"9,149,947","99,891","106,887,980"
Teekay Holdings Australia Pty Ltd,"153,224","1,427","2,142,742"
Telstra Corporation Limited,"55,137","1,359,125","5,960,547"
Teys Australia Pty Ltd,"97,227","76,592","992,390"
Thakral Holdings Limited,"3,488","51,266","265,561"
Thales Australia Holdings Pty Ltd,"36,940","49,755","511,819"
The Maddingley Mine Trust,"124,218",488,"20,304"
The Trustee for Costa’s Unit Trust,"38,618","66,884","695,511"
The Uniting Church in Australia Property Trust (N.S.W.),"9,467","54,256","374,254"
The Uniting Church in Australia Property Trust (Q.),"14,915","84,590","576,856"
The University of Queensland,"3,537","134,900","586,139"
The University of Sydney,"4,565","78,020","396,905"
Thornberry Holdings Pty Limited,"66,920","1,886","981,617"
Tiger Airways Australia Pty Limited,"182,967",0,"2,729,227"
Tiwest Pty Ltd,"599,939","316,906","9,681,937"
TNT Australia Pty Ltd,"34,333","16,595","561,534"
Toga PTY LTD,"4,904","60,838","328,739"
Toll Holdings Limited,"575,214","96,065","8,684,945"
Toyota Motor Corporation Australia Ltd.,"40,384","124,339","1,116,615"
TransAlta Energy (Australia) Pty Ltd,"698,597",25,"13,448,478"
Transend Networks Pty Ltd,"4,034","98,042","1,144,220"
Transfield Services Limited,"1,069,026","61,525","17,196,429"
Transfield Worley Power Services Pty Ltd,"2,977,460","3,558","32,650,878"
TransGrid,"19,511","2,339,339","9,441,758"
Transit Systems Pty Ltd,"56,716","4,662","1,362,525"
Transpacific Industries Group Ltd,"847,178","48,170","5,010,983"
Trility Group Pty Ltd,"112,678","41,664","1,740,971"
TRUenergy Holdings Pty Ltd,"16,143,406","226,831","227,040,383"
TT-Line Company Pty Ltd,"151,206","1,557","2,179,071"
Tyco Flow Control International Pty Ltd,"22,926","38,866","479,145"
United Energy Distribution Holdings Pty Limited,"4,754","546,418","1,661,784"
University of Melbourne,"15,039","121,938","641,685"
University of New South Wales,"5,625","62,187","356,986"
V/Line Corporation,"84,664","12,237","1,249,257"
Valmont Group Holdings Pty Ltd,"15,614","48,156","488,834"
Veolia Transport Australasia Pty Ltd,"62,388","5,576","1,016,321"
Veolia Water Australia Pty Ltd,"2,935","313,050","1,313,500"
Versacold Logistics Limited,"7,203","47,497","280,510"
Virgin Blue Holdings Ltd,"1,887,287","13,081","27,165,476"
Vodafone Hutchison Australia Pty Ltd,36,"130,532","503,609"
Wagner Investments Pty Ltd,"20,925","31,668","431,017"
Warrnambool Cheese and Butter Factory Company Holdings Limited,"29,024","46,145","650,428"
Washington H. Soul Pattinson and Company Limited,"300,306","46,349","2,041,376"
Waste Assets Management Corporation,"138,570","1,717","35,571"
Water Corporation,"114,311","491,581","2,686,342"
Wesfarmers Limited,"2,306,327","2,737,903","39,999,508"
Western Areas NL,"28,373","41,584","598,747"
Westfield Holdings Limited,"21,662","318,919","1,545,563"
Westpac Banking Corporation,"6,642","175,077","803,424"
Westside Corporation Limited,"44,455","11,368","296,227"
Whitehaven Coal Limited,"448,377","12,454","1,658,975"
Wilmar Australia Holdings Pty Limited,"55,235","76,918","7,055,662"
Woodside Petroleum Ltd.,"8,229,511","10,404","1,543,504,177"
Woolworths Ltd,"276,084","2,493,899","10,514,320"
Xstrata Holdings Pty Ltd,"2,737,996","1,165,274","20,487,681"
Xstrata Nickel Holdings Pty Limited,"62,074",207,"1,239,123"
Yancoal Australia Pty Limited,"992,582","139,342","2,639,025"
Yu Feng Pty Ltd,0,"55,221","223,364"
Aurora Energy Pty Limited – in relation to Alfred Hospital Cogeneration Plant,"15,736","1,026","314,903"
Aurora Energy Pty Limited – in relation to St Vincent’s  Hospital Cogeneration Plant,"15,456","1,036","309,580"
Aurora Energy Pty Limited – in relation to Royal Melbourne Hospital Cogeneration Plant,"32,366","2,040","647,599"
Aurora Energy Pty Limited – in relation to Dandenong Hospital Cogeneration Plant,"13,517",591,"268,911"
Aurora Energy Pty Limited – in relation to Geelong Hospital Cogeneration Plant,"14,016",960,"281,759"
Oceanic Coal Australia Limited,"43,932",304,"40,191"
Peabody (Burton Coal) Pty Ltd,"157,112","25,138","1,685,278"
Wilpinjong Coal Pty Ltd,"576,668","15,937","955,079"
Xstrata Coal Queensland Pty Limited,"117,196","40,151","989,959"
